letter_number,date,english_title,tamil_title,source_pdf_pages,source_printed_pages,translation_status,bilingual_alignment_status,source_textual_fidelity_audit,english_word_count,file,bilingual_alignment_report
3592,2011-10-05,I State My Wish!,என் விருப்பத்தை வெளியிடுகிறேன்!,24-29,23-28,verified,verified,visual-scan-verified,1438,letters/3592-i-state-my-wish.md,../BILINGUAL_ALIGNMENT_REVIEW_3592_3594.md
3593,2011-10-10,Alas! Government Land Under AIADMK Rule—Arokara!,அய்யகோ! அ.தி.மு.க. ஆட்சியில் அரசு நிலம் அரோகரா!,30-36,29-35,verified,verified,visual-scan-verified,1921,letters/3593-alas-government-land-under-aiadmk-rule.md,../BILINGUAL_ALIGNMENT_REVIEW_3592_3594.md
3594,2011-10-30,"Then and Now, the Position Is the Same!","அன்றும், இன்றும் ஒரே நிலைதான்!",37-44,36-43,verified,verified,visual-scan-verified,2277,letters/3594-then-and-now-the-same-position.md,../BILINGUAL_ALIGNMENT_REVIEW_3592_3594.md
3595,2011-10-31,"Delay Will Not Help Now; Awake at Once, Tamil!",உதவாதினி ஒரு தாமதம்; உடனே விழி; தமிழா!,45-49,44-48,verified,verified,visual-scan-verified,1570,letters/3595-no-delay-will-help-awake-at-once-tamil.md,../BILINGUAL_ALIGNMENT_REVIEW_3595_3599.md
3596,2011-11-01,Irregularities Even in Village and Town Elections!,"சிற்றூர், பேரூர் தேர்தல்களிலும் சில்மிஷங்கள்!",50-56,49-55,verified,verified,visual-scan-verified,1555,letters/3596-irregularities-even-in-village-and-town-elections.md,../BILINGUAL_ALIGNMENT_REVIEW_3595_3599.md
3597,2011-11-04,Can That Heart Bear This Too?,அந்த இதயம்; இதையும் தாங்குமோ?,57-63,56-62,verified,verified,visual-scan-verified,1733,letters/3597-can-that-heart-bear-this-too.md,../BILINGUAL_ALIGNMENT_REVIEW_3595_3599.md
3598,2011-11-07,My Udanpirappugal Will Not Be Deceived!,என் உடன்பிறப்புகள் ஏமாற மாட்டார்கள்!,64-66,63-65,verified,verified,visual-scan-verified,673,letters/3598-my-udanpirappugal-will-not-be-deceived.md,../BILINGUAL_ALIGNMENT_REVIEW_3595_3599.md
3599,2011-11-08,Ayyar's Conscience Itself Will Say It!,அய்யரின் மனசாட்சியே அதைக் சொல்லும்!,67-74,66-73,verified,verified,visual-scan-verified,1907,letters/3599-ayyars-conscience-will-say-it.md,../BILINGUAL_ALIGNMENT_REVIEW_3595_3599.md
3600,2011-11-10,Is There No One There?,யாருமே அங்கே இல்லையா?,75-79,74-78,verified,verified,visual-scan-verified,1337,letters/3600-is-there-no-one-there.md,../BILINGUAL_ALIGNMENT_REVIEW_3600_3604.md
3601,2011-11-19,Let This Earth Itself Sing Her Praise!,இந்தப் புவியே அவர் புகழ் பாடட்டும்!,80-87,79-86,verified,verified,visual-scan-verified,2274,letters/3601-let-this-earth-itself-sing-her-praise.md,../BILINGUAL_ALIGNMENT_REVIEW_3600_3604.md
3602,2011-12-12,The Path of Righteousness — the Path of Peace — That Is Anna's Path!,அறவழி - அமைதி வழி - அதுவே அண்ணா வழி!,88-94,87-93,verified,verified,visual-scan-verified,1907,letters/3602-path-of-righteousness-path-of-peace-that-is-annas-path.md,../BILINGUAL_ALIGNMENT_REVIEW_3600_3604.md
3603,2012-01-01,Are They Hiding Maraimalai Adigal's View?,மறைமலையார் கருத்தை மறைப்பதோ?,95-101,94-100,verified,verified,visual-scan-verified,1855,letters/3603-hide-maraimalai-adigals-view.md,../BILINGUAL_ALIGNMENT_REVIEW_3600_3604.md
3604,2012-01-08,What Answer Is She Going to Give?,என்ன பதில் சொல்லப் போகிறார்?,102-107,101-106,verified,verified,visual-scan-verified,1639,letters/3604-what-answer-will-she-give.md,../BILINGUAL_ALIGNMENT_REVIEW_3600_3604.md
3605,2012-01-14,The Moving-Temple Renovation We Began!,நாம் தொடங்கிய நடமாடும் கோயில் திருப்பணி!,108-113,107-112,verified,verified,visual-scan-verified,1526,letters/3605-the-moving-temple-renovation-we-began.md,../BILINGUAL_ALIGNMENT_REVIEW_3605_3609.md
3606,2012-02-03,Poison; Isn't One Drop Enough?,விஷம்; ஒரு துளி போதாதா?,114-127,113-126,verified,verified,visual-scan-verified,3842,letters/3606-poison-is-not-one-drop-enough.md,../BILINGUAL_ALIGNMENT_REVIEW_3605_3609.md
3607,2012-02-06,"They Were Stunned, All Right!",அசந்துதான் போனார்கள்!,128-133,127-132,verified,verified,visual-scan-verified,1665,letters/3607-they-were-stunned-all-right.md,../BILINGUAL_ALIGNMENT_REVIEW_3605_3609.md
3608,2012-02-18,Beginning of the Dravidian Movement Centenary!,திராவிட இயக்க நூற்றாண்டு தொடக்கம்!,134-139,133-138,verified,verified,visual-scan-verified,1410,letters/3608-beginning-of-the-dravidian-movement-centenary.md,../BILINGUAL_ALIGNMENT_REVIEW_3605_3609.md
3609,2012-02-24,A Festival We Hold for Ethnic Awakening!,இன எழுச்சிக்கு எடுக்கும் விழா!,140-145,139-144,verified,verified,visual-scan-verified,1560,letters/3609-a-festival-for-ethnic-awakening.md,../BILINGUAL_ALIGNMENT_REVIEW_3605_3609.md
3610,2012-03-28,What Was Said? What Happened?,சொன்னது என்ன? என்ன? நடந்தது என்ன? என்ன?,146-155,145-154,verified,verified,visual-scan-verified,2322,letters/3610-what-was-said-what-happened.md,../BILINGUAL_ALIGNMENT_REVIEW_3610_3614.md
3611,2012-04-03,The Aryan Illusion Striving to Destroy Anna's Dream!,அண்ணாவின் கனவை அழிக்கத் துடிக்கும் ஆரியமாயை!,156-162,155-161,verified,verified,visual-scan-verified,1367,letters/3611-the-aryan-illusion-striving-to-destroy-annas-dream.md,../BILINGUAL_ALIGNMENT_REVIEW_3610_3614.md
3612,2012-04-08,Let Us Rally to Put an End to Lawlessness!,அராஜகத்திற்கு முடிவுகட்ட; அணி திரள்வோம்!,163-167,162-166,verified,verified,visual-scan-verified,1175,letters/3612-let-us-rally-to-end-lawlessness.md,../BILINGUAL_ALIGNMENT_REVIEW_3610_3614.md
3613,2012-04-09,"Wise Tamil, It Is Enough If You Understand This!",புத்தியுள்ள தமிழா; நீ புரிந்துகொண்டால் சரி!,168-174,167-173,verified,verified,visual-scan-verified,1649,letters/3613-wise-tamil-understand-this.md,../BILINGUAL_ALIGNMENT_REVIEW_3610_3614.md
3614,2012-04-14,Poor Panneerselvam!,பாவம்; பன்னீர்செல்வம்!,175-180,174-179,verified,verified,visual-scan-verified,1621,letters/3614-poor-panneerselvam.md,../BILINGUAL_ALIGNMENT_REVIEW_3610_3614.md
3615,2012-04-15,Will We Forget the Old Story?,பழைய கதை - மறந்துபோமோ?,181-189,180-188,verified,verified,visual-scan-verified,2476,letters/3615-will-we-forget-the-old-story.md,../BILINGUAL_ALIGNMENT_REVIEW_3615_3619.md
3616,2012-04-20,Separate Tamil Eelam Will Be a Lamp Set Atop a Hill!,குன்றின் மேலிட்ட விளக்காகும்; தனித் தமிழ் ஈழம்!,190-195,189-194,verified,verified,visual-scan-verified,1536,letters/3616-separate-tamil-eelam-a-lamp-set-atop-a-hill.md,../BILINGUAL_ALIGNMENT_REVIEW_3615_3619.md
3617,2012-04-21,"Even ‘All Are Equal by Birth’ Is Not Allowed, It Seems!",“பிறப்பொக்கும்” என்பது கூடாதாம்!,196-205,195-204,verified,verified,visual-scan-verified,2690,letters/3617-even-all-are-equal-by-birth-is-not-allowed-it-seems.md,../BILINGUAL_ALIGNMENT_REVIEW_3615_3619.md
3618,2012-04-22,True Tamils Will Surely Understand!,உண்மைத் தமிழர் உணர்ந்தே தீர்வர்!,206-213,205-212,verified,verified,visual-scan-verified,2200,letters/3618-true-tamils-will-surely-understand.md,../BILINGUAL_ALIGNMENT_REVIEW_3615_3619.md
3619,2012-04-25,"The Song Mingled with the Air, Unfaded by Time!",காலத்தால் மறையாத காற்றில் கலந்த கீதம்!,214-220,213-219,verified,verified,visual-scan-verified,1973,letters/3619-the-song-mingled-with-the-air-unfaded-by-time.md,../BILINGUAL_ALIGNMENT_REVIEW_3615_3619.md
3620,2012-04-28,When Will the Thirst of Eelam Tamils Be Quenched!,என்று தணியும் ஈழத்தமிழர் தாகம்!,221-232,220-231,verified,verified,visual-scan-verified,3077,letters/3620-when-will-the-thirst-of-eelam-tamils-be-quenched.md,../BILINGUAL_ALIGNMENT_REVIEW_3620_3624.md
3621,2012-05-05,By What Shall This Be Viewed?,எதைக் கொண்டு; இதைப் பார்ப்பது?,233-238,232-237,verified,verified,visual-scan-verified,1271,letters/3621-by-what-shall-this-be-viewed.md,../BILINGUAL_ALIGNMENT_REVIEW_3620_3624.md
3622,2012-05-08,A Party in Anna's Name; What a Farce!,அண்ணா பெயரால் கட்சி; கேலிக்கூத்து!,239-245,238-244,verified,verified,visual-scan-verified,1144,letters/3622-party-in-annas-name-a-farce.md,../BILINGUAL_ALIGNMENT_REVIEW_3620_3624.md
3623,2012-05-14,A Political Turn; What Happened That Day? What?,அரசியல் திருப்பம்; அன்று நடந்தது என்ன? என்ன?,246-251,245-250,verified,verified,visual-scan-verified,1216,letters/3623-political-turn-what-happened-that-day.md,../BILINGUAL_ALIGNMENT_REVIEW_3620_3624.md
3624,2012-05-21,Can the Sun Be Hidden by Pitch Darkness?,காரிருளால் சூரியன்தான் மறைவதுண்டோ?,252-261,251-260,verified,verified,visual-scan-verified,1603,letters/3624-can-the-sun-be-hidden-by-pitch-darkness.md,../BILINGUAL_ALIGNMENT_REVIEW_3620_3624.md
3625,2012-05-23,A Self-Respecter's Pledge!,ஒரு சுயமரியாதைக்காரனின் சூளுரை!,262-266,261-265,verified,verified,visual-scan-verified,1295,letters/3625-a-self-respecters-pledge.md,../BILINGUAL_ALIGNMENT_REVIEW_3625_3629.md
