chapter_id,number,source_pages,source_date,visual_title_status,ocr_title_comparison,publication_title,english_words,tamil_words,date_present,udanpirappe_policy_passed,running_header_absent,status
m1-l0001,1,m1-p0024;m1-p0025;m1-p0026;m1-p0027,1968-10-22,verified_exact,normalized,“ஜாக்குலின்கள்”,802,422,True,True,True,passed
m1-l0002,2,m1-p0028;m1-p0029;m1-p0030;m1-p0031,1968-10-24,verified_exact,normalized,நீ விளைத்த கழனி - நீ உழைத்த உழைப்பு!,933,521,True,True,True,passed
m1-l0003,3,m1-p0032;m1-p0033;m1-p0034;m1-p0035,1968-10-25,verified_exact,normalized,நிதானமாகப் பேசுங்கள்!,793,433,True,True,True,passed
m1-l0004,4,m1-p0036;m1-p0037;m1-p0038,1968-10-27,verified_exact,mismatch,உன்னால் முடிந்ததைச் செய்து விட்டாயா?,755,407,True,True,True,passed
m1-l0005,5,m1-p0039;m1-p0040;m1-p0041;m1-p0042,1968-10-29,verified_exact,normalized,நேர்மையும் பொறுப்பும் நீர்மேல் எழுத்தல்ல!,795,418,True,True,True,passed
m1-l0006,6,m1-p0043;m1-p0044;m1-p0045;m1-p0046;m1-p0047,1968-10-30,verified_exact,mismatch,வெற்றி பெற்றவனே உன் வேலை என்ன?,1193,653,True,True,True,passed
m1-l0007,7,m1-p0048;m1-p0049;m1-p0050;m1-p0051;m1-p0052;m1-p0053,1968-10-31,verified_exact,mismatch,தோற்ற முயலே! முன்போல சுறுசுறுப்பாக இரு!,1205,683,True,True,True,passed
m1-l0008,8,m1-p0054;m1-p0055;m1-p0056;m1-p0057,1968-10-31,verified_exact,mismatch,“தீராதி தீரர்- தேசீய மகிபர்- பராக்! பராக்!”,861,497,True,True,True,passed
m1-l0009,9,m1-p0058;m1-p0059;m1-p0060;m1-p0061;m1-p0062,1968-11-01,verified_exact,mismatch,வீரனே! வெற்றி என்றைக்கும் உன் பக்கம்தான்!,1165,668,True,True,True,passed
m1-l0010,10,m1-p0063;m1-p0064;m1-p0065;m1-p0066,1968-11-02,verified_exact,mismatch,பாவி கெடுத்தானே; பலே சாப்பாட்டை!,893,533,True,True,True,passed
m1-l0011,11,m1-p0067;m1-p0068;m1-p0069,1968-11-06,verified_exact,mismatch,தென்றல்- தெம்பாங்கு- தேன்கீதம்!,621,259,True,True,True,passed
m1-l0012,12,m1-p0070;m1-p0071;m1-p0072,1968-11-07,verified_exact,mismatch,“பூப்போட்ட கிளாசிலே போட்டய்யா ஒண்ணரை!”,720,407,True,True,True,passed
m1-l0013,13,m1-p0073;m1-p0074;m1-p0075;m1-p0076;m1-p0077,1968-11-09,verified_exact,mismatch,மேயர் தேர்தல் நேரம் - நிலை - நேர்த்தியான முடிவு!,896,515,True,True,True,passed
m1-l0014,14,m1-p0078;m1-p0079;m1-p0080;m1-p0081,1968-11-11,verified_exact,mismatch,‘பகைமரம்’ தழைக்க விடோம்!,823,430,True,True,True,passed
m1-l0015,15,m1-p0082;m1-p0083;m1-p0084;m1-p0085,1968-11-14,verified_exact,mismatch,நம்பிக்கையில்லாத் தீர்மானம் - நாடாளுமன்ற நிகழ்ச்சி!,949,545,True,True,True,passed
m1-l0016,16,m1-p0086;m1-p0087;m1-p0088;m1-p0089,1968-11-16,verified_exact,mismatch,யார் அந்த உணவு அமைச்சர்?,816,511,True,True,True,passed
m1-l0017,17,m1-p0090;m1-p0091;m1-p0092;m1-p0093,1968-11-18,verified_exact,mismatch,கிளம்பிற்றுக்காண் தமிழச் சிங்கக் கூட்டம்!,1002,590,True,True,True,passed
m1-l0018,18,m1-p0094;m1-p0095;m1-p0096,1968-11-22,verified_exact,exact,கழுதையும் - பன்றியும்!,702,415,True,True,True,passed
m1-l0019,19,m1-p0097;m1-p0098;m1-p0099;m1-p0100,1968-11-25,verified_exact,mismatch,“பசுத்தோல் வேங்கை பாராய்!”,779,448,True,True,True,passed
m1-l0020,20,m1-p0101;m1-p0102;m1-p0103;m1-p0104,1968-11-26,verified_exact,mismatch,“தமிழ்த்தாயே அவர்களை மன்னித்துவிடு!”,875,447,True,True,True,passed
