letter_number,date,english_title,tamil_title,source_pdf_pages,source_printed_pages,translation_status,bilingual_alignment_status,source_textual_fidelity_audit,file,bilingual_alignment_report
3706,2013-02-20,Should India Join the U.N.’s List—or Not?,ஐ.நா.வின் பட்டியலில் இணைவதா? வேண்டாமா?,24-29,23-28,verified,verified,visual-scan-verified,letters/3706-un-list.md,../BILINGUAL_ALIGNMENT_REVIEW_3706_3710.md
3707,2013-02-22,Do All These Look Like Praise?,இவையெல்லாம் பாராட்டாகத் தெரிகிறதா?,30-35,29-34,verified,verified,visual-scan-verified,letters/3707-do-these-look-like-praise.md,../BILINGUAL_ALIGNMENT_REVIEW_3706_3710.md
3708,2013-02-23,Does Everything the Winner Says Become “Scripture”?,வென்றவர் சொல்வதெல்லாம் “வேதம் ஆகுமா?”,36-43,35-42,verified,verified,visual-scan-verified,letters/3708-do-winners-words-become-scripture.md,../BILINGUAL_ALIGNMENT_REVIEW_3706_3710.md
3709,2013-02-24,When Will They Understand?,புரிந்துகொள்வதுதான் எப்போது?,44-50,43-49,verified,verified,visual-scan-verified,letters/3709-when-will-they-understand.md,../BILINGUAL_ALIGNMENT_REVIEW_3706_3710.md
3710,2013-02-25,Should a Project That Would Enrich Tamil Nadu Be Blocked?,தமிழகத்தை வளமாக்கும் திட்டத்துக்குத் தடை கோருவதா?,51-56,50-55,verified,verified,visual-scan-verified,letters/3710-obstructing-the-project-that-will-enrich-tamil-nadu.md,../BILINGUAL_ALIGNMENT_REVIEW_3706_3710.md
3711,2013-02-27,March 5—the Day We Turn Our Tears into a Shield,கண்ணீரைக் கவசமாக்கும் நாள் - மார்ச் 5.,57-62,56-61,verified,verified,visual-scan-verified,letters/3711-march-5-the-day-tears-become-a-shield.md,../BILINGUAL_ALIGNMENT_REVIEW_3711_3715.md
3712,2013-03-03,A Felicitation Ceremony for This Too?,இதற்கும் சேர்த்தா பாராட்டு விழா?,63-69,62-68,verified,verified,visual-scan-verified,letters/3712-does-this-also-deserve-a-celebration.md,../BILINGUAL_ALIGNMENT_REVIEW_3711_3715.md
3713,2013-03-04,Are You Ready for the Siege Protest?,முற்றுகைப் போருக்குத் தயாராகி விட்டாயா?,70-74,69-73,verified,verified,visual-scan-verified,letters/3713-are-you-ready-for-the-siege.md,../BILINGUAL_ALIGNMENT_REVIEW_3711_3715.md
3714,2013-03-07,The Lie That the War Had Stopped Was Itself a War Crime!,போர் நின்றுவிட்டதாகப் பொய் சொன்னது போர்க்குற்றமே!,75-85,74-84,verified,verified,visual-scan-verified,letters/3714-lying-that-the-war-had-stopped-is-a-war-crime.md,../BILINGUAL_ALIGNMENT_REVIEW_3711_3715.md
3715,2013-03-08,Is It Fair to Try to Wreck the Sethu Project?,சேதுத் திட்டத்தைச் சீரழிக்க நினைப்பது நியாயமா?,86-91,85-90,verified,verified,visual-scan-verified,letters/3715-is-it-fair-to-destroy-the-sethu-project.md,../BILINGUAL_ALIGNMENT_REVIEW_3711_3715.md
3716,2013-03-09,Let Us See the Tamils Here Unite!,இங்குள்ள தமிழர் ஒன்றாதல் காண்போம்!,92-98,91-97,verified,verified,visual-scan-verified,letters/3716-let-us-see-tamils-here-unite.md,../BILINGUAL_ALIGNMENT_REVIEW_3716_3720.md
3717,2013-03-10,The Maduravoyal Project Too—Arokara! Why? Why?,மதுரவாயல் திட்டமும் அரோகரா! ஏன்? ஏன்?,99-104,98-103,verified,verified,visual-scan-verified,letters/3717-maduravoyal-project-arokara-why-why.md,../BILINGUAL_ALIGNMENT_REVIEW_3716_3720.md
3718,2013-03-11,Udanpirappē! I Call You—Come!,உடன்பிறப்பே! உன்னை அழைக்கிறேன் வா!,105-111,104-110,verified,verified,visual-scan-verified,letters/3718-sibling-i-call-you-come.md,../BILINGUAL_ALIGNMENT_REVIEW_3716_3720.md
3719,2013-03-12,Does Everyone Accept This?,இதை எல்லோரும் ஏற்றுக் கொள்கிறார்களா?,112-122,111-121,verified,verified,visual-scan-verified,letters/3719-does-everyone-accept-this.md,../BILINGUAL_ALIGNMENT_REVIEW_3716_3720.md
3720,2013-03-14,"Because TESO Asks, Does That Mean It Has No Strength?",“டெசோ” கேட்பதால்; வலுவில்லை என்பதா?,123-128,122-127,verified,verified,visual-scan-verified,letters/3720-is-there-no-strength-because-teso-asks.md,../BILINGUAL_ALIGNMENT_REVIEW_3716_3720.md
3721,2013-03-21,Tamils of the World Will Never Agree!,உலகத் தமிழர்கள் ஒருபோதும் ஒப்பமாட்டார்கள்!,129-136,128-135,verified,verified,visual-scan-verified,letters/3721-world-tamils-will-never-agree.md,../BILINGUAL_ALIGNMENT_REVIEW_3721_3725.md
3722,2013-03-27,In the Legislative Assembly—Then and Now!,"சட்டப்பேரவையில் அன்றும், இன்றும்!",137-143,136-142,verified,verified,visual-scan-verified,letters/3722-in-the-legislative-assembly-then-and-now.md,../BILINGUAL_ALIGNMENT_REVIEW_3721_3725.md
3723,2013-03-28,The Deception Has Become Routine!,வாடிக்கையாகிவிட்ட பித்தலாட்டம்!,144-150,143-149,verified,verified,visual-scan-verified,letters/3723-the-usual-deception.md,../BILINGUAL_ALIGNMENT_REVIEW_3721_3725.md
3724,2013-03-29,The Hindu Itself Points Out the Double Role!,“இந்து” ஏடே சுட்டிக்காட்டும் இரட்டை வேடம்!,151-156,150-155,verified,verified,visual-scan-verified,letters/3724-the-hindu-itself-points-out-the-double-role.md,../BILINGUAL_ALIGNMENT_REVIEW_3721_3725.md
3725,2013-03-31,Lawlessness in the Cooperative Elections!,கூட்டுறவுத் தேர்தல்களில் அராஜகம்!,157-161,156-160,verified,verified,visual-scan-verified,letters/3725-lawlessness-in-cooperative-elections.md,../BILINGUAL_ALIGNMENT_REVIEW_3721_3725.md
3726,2013-04-01,How Long Will They Go On Deceiving?,எத்தனை காலம்தான் ஏமாற்றுவார்?,162-167,161-166,verified,verified,visual-scan-verified,letters/3726-how-long-will-they-deceive.md,../BILINGUAL_ALIGNMENT_REVIEW_3726_3730.md
3727,2013-04-03,Will They Reveal Their “Qualification”?,தங்கள் “தகுதி”யை வெளிப்படுத்துவார்களா?,168-173,167-172,verified,verified,visual-scan-verified,letters/3727-will-they-reveal-their-qualification.md,../BILINGUAL_ALIGNMENT_REVIEW_3726_3730.md
