order,chapter_id,letter_number,tamil_title,source_file,source_sha256,translation_file,status
1,m50-l3817,3817,சிலர் பெறுவதோ “லாபம்”; பலர் தருவதோ “சாபம்!”,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3817_சிலர்_பெறுவதோ_“லாபம்”;_பலர்_தருவதோ_“சாபம்!”/chapter.md,e829b1e013ef540cbfc9f4f2f94fc87c080f2589afb88e09c9ac63afbc1d9cde,translations/vol50/m50-l3817.en.md,translated
2,m50-l3818,3818,அம்மா ஆட்சியின் அவலங்களைக் கூறிட ஒரு நாள் போதுமா?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3818_அம்மா_ஆட்சியின்_அவலங்களைக்_கூறிட_ஒரு_நாள்_போதுமா/chapter.md,a4876c7014973efd9e60dfb9c4d3153dfafcbd98c554def2914b8e191ae886fd,translations/vol50/m50-l3818.en.md,translated
3,m50-l3819,3819,நடப்பது ஆட்சியா; வெறும் காட்சியா?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3819_நடப்பது_ஆட்சியா;_வெறும்_காட்சியா/chapter.md,4401b4610ae9c19aa35c4dd770fc863fad2fa470c2381f8b6cefd7a0af9d94ed,translations/vol50/m50-l3819.en.md,translated
4,m50-l3820,3820,போனஸ் பற்றி “ஜெயா” தந்த விளக்கம்!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3820_போனஸ்_பற்றி_“ஜெயா”_தந்த_விளக்கம்!/chapter.md,27a94d5621f1a09bf3ccc322f8ba3500c1be47d602ca2d76f2b523904f55373a,translations/vol50/m50-l3820.en.md,translated
5,m50-l3821,3821,"அக்கறையின்மை, தொலைநோக்கற்ற பார்வை; யாருக்கு?","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3821_அக்கறையின்மை,_தொலைநோக்கற்ற_பார்வை;_யாருக்கு/chapter.md",d4e5d7f86e8af0cd2b28ffb3e6cb407adb367ba411b2d319a097e8eea3cecb9b,translations/vol50/m50-l3821.en.md,translated
6,m50-l3822,3822,இசைப்பிரியாவின் மறைவை எண்ணியாவது இந்தியா கண்ணீர் சிந்துமா?,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3822_இசைப்பிரியாவின்_மறைவை_எண்ணியாவது_இந்தியா_கண்ணீர்_சிந்துமா/chapter.md,5ef724022f68eb813072b86cf8b5cb977c879f9646b7f64fdba82254f0d3b8a7,translations/vol50/m50-l3822.en.md,translated
7,m50-l3823,3823,“மோனோ” போய்; “மெட்ரோ” வந்தது!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3823_“மோனோ”_போய்;_“மெட்ரோ”_வந்தது!/chapter.md,868901e43b09911d41725163c08d636728f8f9a2528ab4cdf9995ce771bfd5dd,translations/vol50/m50-l3823.en.md,translated
8,m50-l3824,3824,இருகரம் கூப்பி அழைக்கின்றேன்!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3824_இருகரம்_கூப்பி_அழைக்கின்றேன்!/chapter.md,dbdc5f235696db586a273c4cc22e7e144f5d6f2f3b2b76d7288823613dc230ab,translations/vol50/m50-l3824.en.md,translated
9,m50-l3825,3825,விளக்கமும்; நான் விடுக்கும் வினாக்களும்!,v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3825_விளக்கமும்;_நான்_விடுக்கும்_வினாக்களும்!/chapter.md,165200f6630b0093598b5bb44a87a674be0e1fd7e1f6f978b8a0f145b773a85c,translations/vol50/m50-l3825.en.md,translated
10,m50-l3826,3826,"மக்கள் நலப் பணியாளர்களும், தமிழர்களே!","v6_source_verification/v6_7_pretranslation/vol50/chapters/m50-l3826_மக்கள்_நலப்_பணியாளர்களும்,_தமிழர்களே!/chapter.md",5fa9e9946368e77bbcfea1d2f96e82799f92c0cfd27d9e9fe08fac478e6443cd,translations/vol50/m50-l3826.en.md,translated
