letter_number,date,tamil_title,source_pdf_pages,source_printed_pages,file,alignment_report,release_status,source_note
0001,1968-10-22,“ஜாக்குலின்கள்”,024-027,023-026,letters/0001-jacquelines.md,alignment/ALIGNMENT_0001_0010.md,released,
0002,1968-10-24,நீ விளைத்த கழனி - நீ உழைத்த உழைப்பு!,028-031,027-030,letters/0002-nee-vilaitha-kazhani-nee-uzhaitha-uzhaippu.md,alignment/ALIGNMENT_0001_0010.md,released,
0003,1968-10-25,நிதானமாகப் பேசுங்கள்!,032-035,031-034,letters/0003-nidhanamaga-pesungal.md,alignment/ALIGNMENT_0001_0010.md,released,
0004,1968-10-27,உன்னால் முடிந்ததைச் செய்து விட்டாயா?,036-038,035-037,letters/0004-unnal-mudinthathai-seythu-vittaya.md,alignment/ALIGNMENT_0001_0010.md,released,
0005,1968-10-29,நேர்மையும் பொறுப்பும் நீர்மேல் எழுத்தல்ல!,039-042,038-042,letters/0005-nermaiyum-poruppum-neermel-ezhuthalla.md,alignment/ALIGNMENT_0001_0010.md,released,printed pagination skips 39 between PDF 039 and PDF 040; text continuous
0006,1968-10-30,வெற்றி பெற்றவனே உன் வேலை என்ன?,043-047,043-047,letters/0006-vetri-petravane-un-velai-enna.md,alignment/ALIGNMENT_0001_0010.md,released,
0007,1968-10-31,தோற்ற முயலே! முன்போல சுறுசுறுப்பாக இரு!,048-053,048-053,letters/0007-thotra-muyale-munpol-surusuruppaga-iru.md,alignment/ALIGNMENT_0001_0010.md,released,
0008,1968-10-31,“தீராதி தீரர்- தேசீய மகிபர்- பராக்! பராக்!”,054-057,054-057,letters/0008-dheeradhi-dheerar-desiya-magibar-paraak-paraak.md,alignment/ALIGNMENT_0001_0010.md,released,
0009,1968-11-01,வீரனே! வெற்றி என்றைக்கும் உன் பக்கம்தான்!,058-062,058-062,letters/0009-veerane-vetri-enraikkum-un-pakkamthan.md,alignment/ALIGNMENT_0001_0010.md,released,
0010,1968-11-02,பாவி கெடுத்தானே; பலே சாப்பாட்டை!,063-066,063-066,letters/0010-paavi-keduthane-pale-sappattai.md,alignment/ALIGNMENT_0001_0010.md,released,
0011,1968-11-06,தென்றல்- தெம்பாங்கு- தேன்கீதம்!,067-069,067-069,letters/0011-thendral-thembangu-thengeetham.md,alignment/ALIGNMENT_0011_0020.md,released,
0012,1968-11-07,“பூப்போட்ட கிளாசிலே போட்டய்யா ஒண்ணரை!”,070-072,070-072,letters/0012-poopotta-glassile-pottayya-onnarai.md,alignment/ALIGNMENT_0011_0020.md,released,
